|Index|q10_resp|q1_resp|q2_resp|q3_resp|q4_resp|q5_resp|q6_resp|q7_resp|q8_resp|q9_resp|qimg|stim_id|stim_txt|complement
0|0||layer of sauce over the bottom of 9-by-13-inch baking |True|True|False|False|False|False|False||1.png|31372|Heat oven to 375 degrees F.Spoon a layer of sauce over the bottom of 9-by-13-inch baking dish|Heat oven to 375 degrees F.Spoon a dish
1|1||er with a single layer of ravioli.|True|False|False|True|False|False|False||2.png|31379|Cover with a single layer of ravioli.|Cov
2|2|False|ravioli and the remaining sauce |True|True|True|True|False|True|True|True|5.png|31419|Top with another layer of ravioli and the remaining sauce not all the ravioli may be needed. Sprinkle with the Parmesan.|Top with another layer of not all the ravioli may be needed. Sprinkle with the Parmesan.
3|3|True|a third of the remaining sauce|True|False|False|True|False|False|True|True|3.png|31383|Top with half the spinach half the mozzarella and a third of the remaining sauce.|Top with half the spinach half the mozzarella and .
4|8|True|layer of ravioli and the remaining spinach mozzarella and half the remaining sauce.|True|True|True|True|True|True|True|True|4.png|31408|Repeat with another layer of ravioli and the remaining spinach mozzarella and half the remaining sauce.|Repeat with another 
5|18||1 cup All purpose flour/Maida 1 cup water 1 tablespoon Sugar 1 tablespoon Vegetable oil 1/2 teaspoon SaltFor making Churros Oil for deep fryingTo Sprinkle|True|False|True|False|False|False|False||churros-mexican-fritters_1_0.jpg|2957_1|For making Dough 1 cup All purpose flour/Maida 1 cup water 1 tablespoon Sugar 1 tablespoon Vegetable oil 1/2 teaspoon SaltFor making Churros Oil for deep fryingTo Sprinkle/Roll 1 tablespoon sugar 1 teaspoon of Ground cinnamon|For making Dough /Roll 1 tablespoon sugar 1 teaspoon of Ground cinnamon
6|19|True|dip the pineapples into chocolate one by one until fully coated|True|False|False|True|False|False|True|False|fruit-bouquets-how-to-make-valentines-chocolate-co_5_0.jpg|3299_5|Using your custom made chocolate machine, dip the pineapples into chocolate one by one until fully coated (LOL! Don't worry! We know you likely do not own such a thing. Therefore, you will need microwavable chocolate dipping sauce you can find in your local grocery store.)It is extremely important to wait until the chocolate is dry before the next step.|Using your custom made chocolate machine,  (LOL! Don't worry! We know you likely do not own such a thing. Therefore, you will need microwavable chocolate dipping sauce you can find in your local grocery store.)It is extremely important to wait until the chocolate is dry before the next step.
7|20||ou put the sandwich together the jelly won't slip off, or if you put the jell|False|True|True|False|False|False|False||ultimate-pbj_5_0.jpg|4556_5|Use a spoon or butter knife to distribute jelly onto the opposite still plain bread slice. This ensures that when you put the sandwich together the jelly won't slip off, or if you put the jelly on the already topped slice of bread, it might slip off of that as well before you get the chance to put the other slice on top.|Use a spoon or butter knife to distribute jelly onto the opposite still plain bread slice. This ensures that when yy on the already topped slice of bread, it might slip off of that as well before you get the chance to put the other slice on top.
8|21||mburge|True|True|True|True|False|False|False||beef-casserole_1_0.jpg|1878_1|one pound hamburger|one pound har
9|24||: garnish the magic spicy tea and enjoy it.|False|False|False|False|False|False|False||how-to-make-magic-spicy-tea_6_0.jpg|138_6|garnish the magic spicy tea and enjoy it.|garnish the magic spicy tea and enjoy it.
10|25||atever. If it can go in the oven, it's oka|False|False|False|False|False|False|False||savory-biscuits!_3_0.jpg|2701_3|Mix well, and place spoonfulls in muffin tins- or just drop them on a greased or oiled baking dish, or a sheet of alujminum foil, or an iron skillet. Whatever. If it can go in the oven, it's okay.|Mix well, and place spoonfulls in muffin tins- or just drop them on a greased or oiled baking dish, or a sheet of alujminum foil, or an iron skillet. Why.
11|26||e marinara or bolganese! E|True|False|False|False|False|False|False||zombie-calzone_6_0.jpg|1035_6|In a preheated 400 degree oven, cook your zombie for 15-18 minutes. Serve with your favorite marinara or bolganese! Eat him before he eats you!|In a preheated 400 degree oven, cook your zombie for 15-18 minutes. Serve with your favoritat him before he eats you!
12|27||x the remaining flour with what you have left rest. Then, you knead the mix you have made.|False|False|False|False|False|False|False||focaccia-2_5_0.jpg|2224_5|After the yeast has been activated, you mix the remaining flour with what you have left rest. Then, you knead the mix you have made.|After the yeast has been activated, you mi
13|32||h of milk onto each scone with a brush.|False|False|False|False|False|False|False||jam-scones_5_0.jpg|491_2|Brush a splash of milk onto each scone with a brush.|Brush a splas
14|33||ce of butter and spread it around a small spot to allow the oil to sear the bread. |False|False|False|False|False|False|False||cuban-sandwich_11_0.jpg|478_11|Take a slice of butter and spread it around a small spot to allow the oil to sear the bread. This is important because otherwise the bread will not cook as well and not get the flavor that you want.|Take a sliThis is important because otherwise the bread will not cook as well and not get the flavor that you want.
15|41||Quickly drop table spoonfuls of the pancake mix onto the pan.|True|False|True|False|False|True|False||quick-easy-blueberry-pancakes_4_0.jpg|4713_4|Quickly drop table spoonfuls of the pancake mix onto the pan. I find 4 at a time leaves room for turning| I find 4 at a time leaves room for turning
16|42||When the noodles have absorbed most but not all of the sauce, add the straw mushrooms and chives|True|False|False|False|False|True|False||ee-fu-noodles_6_0.jpg|2293_6|When the noodles have absorbed most but not all of the sauce, add the straw mushrooms and chives to the pan and stir through for 1 minute.| to the pan and stir through for 1 minute.
17|43||Add your meat to your avocado.|True|True|False|False|False|True|False||tacocado_3_0.jpg|297_3|Add your meat to your avocado.|
18|44||Here you can see where you can start the actual peeling |True|True|False|False|True|False|False||how-to-peel-a-hard-cooked-egg_7_0.jpg|3172_7|Here you can see where you can start the actual peeling without any troubles.|without any troubles.
19|45||Here I have farmed sea salt from Ireland (amazing and can be found on amazon), garlic powder, cafe grind black pepper, dark chili powder and a smoked paprika.|True|False|False|True|True|False|False||smoked-pork-butt_2_0.jpg|3920_2|Make your own spice blend, cheaper than buying!Here I have farmed sea salt from Ireland (amazing and can be found on amazon), garlic powder, cafe grind black pepper, dark chili powder and a smoked paprika.Once you have your blend,....rub it into all sides of the pork.I dont have picture as my hands were pretty dirty after this step! |Make your own spice blend, cheaper than buying!Once you have your blend,....rub it into all sides of the pork.I dont have picture as my hands were pretty dirty after this step! 
20|46|True|slice a banana into slices approximately 1/2 inch thick. Placing these directly onto the peanut butter |True|False|False|False|False|False|True|True|ultimate-pbj_4_0.jpg|5572_4|After putting the peanut butter away, slice a banana into slices approximately 1/2 inch thick. Placing these directly onto the peanut butter keeps them from sliding off and created small gaps for the jelly to fill. |After putting the peanut butter away, keeps them from sliding off and created small gaps for the jelly to fill. 
21|48||Add the Worcestershire sauce & Sriracha sauce to the meat and mix well. |True|False|False|True|False|True|False||spicy-hot-beef-jerky-1_5_0.jpg|4977_5|Add the Worcestershire sauce & Sriracha sauce to the meat and mix well. Refrigerate overnight.|Refrigerate overnight.
22|49||put in lollipops in each square|True|True|False|False|False|True|False||lolli-juice-cube-summer-treat_4_0.jpg|1138_4|put in lollipops in each square|
23|50||Grate your Butter into the Bowl. |True|False|False|False|False|True|False||whole-wheat-flax-pie-dough_2_0.jpg|1938_2|Add your flours, and flax into a bowl. Grate your Butter into the Bowl. Grating it on the largest setting on your Grater is a wonderful was to get the perfect size of Butter pieces without trying to mix it into pea sizes pieces. &#160;|Add your flours, and flax into a bowl. Grating it on the largest setting on your Grater is a wonderful was to get the perfect size of Butter pieces without trying to mix it into pea sizes pieces. &#160;
24|51|False|you may now sink your teeth into this much deserved&#160;delicacy|True|False|False|True|False|False|True|False|how-to-peroperly-prepare-a-bowl-of-cereal_8_0.jpg|1975_8|Now that you've properly prepared this wonderful bowl of joy, you may now sink your teeth into this much deserved&#160;delicacy.|Now that you've properly prepared this wonderful bowl of joy, .
25|52|False|Mix in the pumpkin, stirring|True|False|False|True|False|False|True|False|pumpkin-white-chocolate-pudding_3_0.jpg|2361_2|Mix in the pumpkin, stirring|
